DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
36289	252	1	1	1	1	1000000	1518.07162033073
36289	252	2	1	1	1	800000	1518.07162033073
36289	252	2	2	4	2		1518.07162033073
36290	252	1	1	1	1	1000000	968.938946958565
36291	252	1	1	1	1	200000	1143.72720433748
36291	252	1	2	1	1	700000	1143.72720433748
36292	252	1	1	4	1	800000	2324.73567870441
36292	252	1	2	4	2		2324.73567870441
36292	252	1	3	1	1	800000	2324.73567870441
36292	252	1	4	1	1	700000	2324.73567870441
36293	252	1	1	4	1	1200000	2506.03213147112
36294	252	1	1	1	1	1000000	2653.80525812343
36294	252	1	2	1	2		2653.80525812343
36295	252	1	1	1	2		2341.57136928435
36295	252	1	2	4	2		2341.57136928435
36296	252	1	1	1	1	1500000	3136.43315061003
36297	252	1	1	5	1	600000	630.919582631765
36297	252	1	2	4	2		630.919582631765
36298	252	1	1	1	99		854.087241784051
36299	252	1	1	4	2		1199.83120142148
36299	252	1	2	4	2		1199.83120142148
36299	252	1	3	1	99		1199.83120142148
36299	252	1	6	1	99		1199.83120142148
36300	252	1	1	4	1	2000000	307.971485381996
36300	252	1	2	2	2		307.971485381996
36300	252	1	3	4	2		307.971485381996
36300	252	1	4	4	2		307.971485381996
36301	252	1	1	1	1	1000000	441.970960041499
36301	252	1	2	3	2		441.970960041499
36302	252	1	1	1	1	2400000	467.275319384807
36303	252	1	1	4	2		385.423457769509
36303	252	1	2	3	2		385.423457769509
36303	252	1	3	1	2		385.423457769509
36304	252	1	1	4	1	150000	317.794219460722
36305	252	1	1	3	1	300000	505.480201522022
36306	252	1	1	4	1	1000000	276.559190365833
36306	252	1	2	6	2		276.559190365833
36307	252	1	1	3	1	100000	439.653019408814
36308	252	1	1	4	2		317.794219460722
36309	252	1	1	1	1	4000000	467.275319384807
36310	252	1	1	4	1	300000	317.794219460722
36311	252	1	1	1	1	1150000	519.422932429012
36312	252	1	1	4	1	730000	359.949946338722
36312	252	1	2	4	2		359.949946338722
36313	252	1	1	4	1	1200000	788.623601367578
36313	252	1	3	1	2		788.623601367578
36314	252	1	1	5	1	1000000	673.730885565206
36315	252	1	1	4	1	800000	686.072771341312
36315	252	1	2	4	1	8000000	686.072771341312
36315	252	1	4	1	1	300000	686.072771341312
36316	252	1	1	1	1	700000	960.740987664615
36316	252	1	2	4	2		960.740987664615
36316	252	1	3	1	1	700000	960.740987664615
36316	252	1	4	5	2		960.740987664615
36317	252	1	1	4	1	860000	768.996254992108
36317	252	1	2	4	2		768.996254992108
36318	252	1	1	4	1	685000	945.506986010906
36318	252	1	2	1	1	850000	945.506986010906
36318	252	1	4	1	1	787000	945.506986010906
36318	252	1	5	3	2		945.506986010906
36319	252	1	1	1	1	380000	945.506986010906
36319	252	1	2	4	1	200000	945.506986010906
36319	252	1	3	1	1	787000	945.506986010906
36319	252	1	4	1	1	787000	945.506986010906
36320	252	1	1	1	1	1800000	947.277203886881
36320	252	1	2	1	1	1200000	947.277203886881
36321	252	1	1	1	1	1000000	960.740987664615
36321	252	1	2	4	2		960.740987664615
36321	252	1	3	1	1	700000	960.740987664615
36321	252	1	4	3	2		960.740987664615
36322	252	1	1	1	2		912.415855857701
36322	252	1	2	1	1	1000000	912.415855857701
36323	252	1	1	1	1	1200000	923.256512789649
36323	252	1	2	4	2		923.256512789649
36324	252	1	1	1	1	1000000	921.810454850848
36324	252	1	2	1	1	1000000	921.810454850848
36324	252	1	4	1	1	4000000	921.810454850848
36325	252	1	1	1	1	500000	899.559981629592
36326	252	1	1	4	1	1700000	981.037407341585
36327	252	1	1	1	1	1000000	947.277203886881
36327	252	1	2	1	1	1000000	947.277203886881
36328	252	1	1	1	2		711.215360440172
36328	252	1	2	4	1	400000	711.215360440172
36328	252	1	3	3	2		711.215360440172
36330	252	1	1	4	1	1000000	768.996254992108
36330	252	1	2	4	2		768.996254992108
36331	252	1	1	1	1	400000	1076.30277676849
36331	252	1	2	5	1	1000000	1076.30277676849
36332	252	1	1	1	1	708000	725.00330415508
36332	252	1	2	1	1	737000	725.00330415508
36332	252	1	3	1	1	737000	725.00330415508
36332	252	1	4	5	2		725.00330415508
36333	252	1	1	4	1	1300000	768.996254992108
36333	252	1	2	4	2		768.996254992108
36334	252	1	1	1	1	1000000	923.256512789649
36334	252	1	2	1	1	700000	923.256512789649
36336	252	1	1	4	1	1574000	1004.73393850164
36336	252	1	2	5	2		1004.73393850164
36337	252	1	1	1	1	787000	933.1651002348
36337	252	1	2	4	2		933.1651002348
36338	252	1	1	5	1	1600000	652.220472069531
36338	252	1	2	4	2		652.220472069531
