DIRECTORIO	REGION	P4090	P4000	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	P70	FEX_P
36301	5	1	1	1	1	2	1	1	3	2	1	441.970960041499
36302	5	1	2	1	1	2	1	1	3	2	1	467.275319384807
36303	5	1	1	1	1	2	1	1	3	1	1	385.423457769509
36304	5	1	1	1	1	2	1	1	3	1	1	317.794219460722
36305	5	1	2	1	1	2	1	1	3	1	1	505.480201522022
36306	5	1	1	1	1	2	1	1	3	2	1	276.559190365833
36307	5	1	2	1	1	2	1	1	3	1	1	439.653019408814
36308	5	1	2	1	1	2	1	1	3	2	1	317.794219460722
36309	5	1	1	1	1	2	1	1	3	1	1	467.275319384807
36310	5	1	1	1	1	1	1	1	3	1	1	317.794219460722
36311	5	1	1	1	1	2	1	1	3	2	1	519.422932429012
36312	5	1	1	1	3	2	1	1	6	1	1	359.949946338722
36313	2	1	2	1	3	1	1	1	3	1	1	788.623601367578
36314	2	1	2	1	3	1	1	1	3	1	1	673.730885565206
36315	2	1	1	1	2	1	1	1	3	1	1	686.072771341312
36316	2	1	2	1	2	1	1	1	3	1	1	960.740987664615
36317	2	1	2	1	2	1	1	1	2	1	1	768.996254992108
36318	2	1	1	1	2	1	1	1	3	1	1	945.506986010906
36319	2	1	2	1	2	1	1	1	3	1	1	945.506986010906
36320	2	1	2	1	2	1	1	1	3	1	1	947.277203886881
36321	2	1	2	1	2	1	1	1	3	1	1	960.740987664615
36322	2	1	2	1	2	1	1	1	3	1	1	912.415855857701
36323	2	1	1	1	2	1	1	1	3	1	1	923.256512789649
36324	2	1	2	1	3	1	1	1	3	1	1	921.810454850848
36325	2	1	1	1	2	1	1	1	3	1	1	899.559981629592
36326	2	1	1	1	2	1	1	1	3	1	1	981.037407341585
36327	2	1	1	1	3	1	1	1	3	1	1	947.277203886881
36328	2	1	2	1	3	1	1	1	3	1	1	711.215360440172
36330	2	1	1	1	2	1	1	1	3	1	1	768.996254992108
36331	2	1	2	1	2	1	1	1	3	1	1	1076.30277676849
36332	2	1	2	1	2	1	1	1	3	1	1	725.00330415508
36333	2	1	2	1	2	1	1	1	3	1	1	768.996254992108
36334	2	1	2	1	2	1	1	1	3	1	1	923.256512789649
36336	2	1	2	1	2	1	1	1	3	1	1	1004.73393850164
36337	2	1	2	1	2	1	1	1	3	1	1	933.1651002348
36338	2	1	1	1	2	1	1	1	3	1	1	652.220472069531
36339	2	1	1	1	2	1	1	1	3	1	1	238.70701196278
36340	2	1	1	1	2	1	1	1	3	1	1	509.816464562181
36341	2	1	2	1	2	1	1	1	3	1	1	271.954283226936
36342	2	1	1	1	3	1	1	1	3	1	1	310.613204632833
36343	2	1	1	1	2	1	1	1	3	1	1	927.77439554238
36344	2	1	1	1	2	1	1	1	3	1	1	773.76864995295
36345	2	1	1	1	2	1	1	1	3	1	1	1137.93377056316
36346	2	1	1	1	3	1	1	1	3	1	1	509.816464562181
36347	2	1	1	1	2	1	1	1	3	1	1	514.754984672694
36348	2	1	2	1	2	1	1	1	3	1	1	985.391529875875
36349	2	1	2	1	2	1	1	1	3	1	1	1114.82782836025
36350	2	1	2	1	2	1	1	1	3	1	1	538.314151949207
36351	2	1	1	1	2	1	1	1	3	1	1	672.033076149942
36352	2	1	1	1	1	1	1	1	3	1	1	337.719154937276
36353	2	1	1	1	2	1	1	1	3	1	1	386.884324976475
36354	2	1	1	1	2	1	1	1	3	1	1	530.307963875682
36355	2	1	2	1	2	1	1	1	3	1	1	441.827978036433
36356	2	1	1	1	2	1	1	1	3	1	1	463.88719777119
36357	2	1	1	1	2	1	1	1	3	1	1	492.695764937937
36358	2	1	2	1	2	1	1	1	3	1	1	399.093190472082
36359	2	1	2	1	2	1	1	1	3	1	1	308.910587770529
36360	2	1	2	1	2	1	1	1	2	1	1	359.339678676157
36361	2	1	2	1	2	1	1	1	3	1	1	488.851835217452
36362	2	1	2	1	2	1	1	1	3	1	1	522.025330057788
36364	2	1	2	1	2	1	1	1	3	1	1	490.993148075633
36365	2	1	1	1	2	1	1	1	3	1	1	320.024862876108
36366	2	1	2	1	2	1	1	1	3	1	1	728.186886745879
36367	2	1	2	1	2	1	1	1	3	1	1	1384.6436973989
36368	2	1	1	1	2	1	1	1	3	1	1	917.771066162762
36369	2	1	2	1	2	1	1	1	3	1	1	1214.62310022883
36370	2	1	2	1	1	2	2	1	2	1	1	1749.31150067965
36371	2	1	2	1	1	2	1	1	2	1	1	1214.62310022883
36372	2	1	2	1	1	1	1	1	3	1	1	1102.97052478197
36373	2	1	2	1	1	1	1	1	3	1	2	1399.94792942144
36374	2	1	2	1	1	1	1	1	3	1	1	1278.1488592812
36375	2	1	1	1	1	1	1	1	3	1	1	1452.45946661358
36376	2	1	2	1	1	1	1	1	3	1	1	1214.62310022883
36377	2	1	1	1	1	1	1	1	3	1	1	1177.41579505922
36378	2	1	1	1	1	1	1	1	3	1	1	1471.85870342511
36379	2	1	1	1	1	1	1	1	3	1	1	1278.1488592812
36380	2	1	1	1	2	1	1	1	3	1	1	1278.1488592812
36381	2	1	1	1	1	1	1	1	3	1	2	1600.54633069855
36382	2	1	2	1	1	1	1	1	3	1	1	1596.16160990088
36383	2	1	1	1	2	1	1	1	2	1	1	1142.22024302373
36384	2	1	1	1	2	1	1	1	3	1	1	752.26774622349
36385	2	1	1	1	2	1	1	1	3	1	1	1025.72807883432
36386	2	1	2	1	2	1	1	1	3	1	1	467.035879629627
36387	2	1	2	1	2	1	1	1	3	1	1	827.475998079175
36388	2	1	2	1	1	1	1	1	2	1	1	692.085956451401
36389	2	1	2	1	1	1	1	1	3	1	1	939.019960763915
36390	2	1	1	1	2	1	1	1	3	1	1	602.331480292478
36391	2	1	1	1	1	1	1	1	2	1	1	467.035879629627
36392	2	1	2	1	2	1	1	1	3	1	1	1177.95940548325
36393	2	1	2	1	2	1	1	1	3	1	1	1296.89335072724
36394	2	1	1	1	5	1	1	1	3	1	1	636.616263625997
36395	2	1	1	1	5	1	1	1	3	1	1	515.623362222071
36396	2	1	1	1	4	1	1	1	3	1	1	983.963928720248
36397	2	1	1	1	4	1	1	1	3	1	1	636.616263625997
36398	2	1	1	1	5	1	1	1	3	1	1	686.508433086991
36399	2	1	1	1	5	1	1	1	3	1	1	955.861245785071
36400	2	1	2	1	5	1	1	1	3	1	1	1177.95940548325
36401	2	1	2	1	2	2	1	1	3	1	1	1236.47545639717
36402	2	1	2	1	2	1	1	1	3	1	1	1080.96166710175
36403	2	1	2	1	2	1	1	1	3	1	1	1015.20235396525
36404	2	1	2	1	2	1	1	1	3	1	1	1177.95940548325
36405	2	1	1	1	2	1	1	1	2	1	1	712.798656827333
36406	2	1	2	1	2	1	1	1	3	1	1	778.557969963832
36407	2	1	1	1	2	1	1	1	3	1	1	1049.72324185675
36408	2	1	2	1	2	1	1	1	3	1	1	712.798656827333
36409	2	1	2	1	2	1	1	1	2	1	1	983.963928720248
36410	2	1	2	1	2	1	1	1	3	1	1	1207.13887456832
36411	2	1	1	1	3	1	1	1	3	1	1	1015.20235396525
36412	2	1	1	1	2	1	1	1	2	1	1	856.655467164237
36413	2	1	2	1	2	1	1	1	3	1	1	636.616263625997
36414	2	1	2	1	2	1	1	1	3	1	1	983.963928720248
36415	2	1	2	1	2	1	1	1	3	1	1	1115.48255499325
36416	2	1	2	1	2	1	1	1	2	1	1	681.560231582329
36417	2	1	2	1	3	1	1	1	3	1	1	1236.47545639717
36418	2	1	1	1	2	1	1	1	3	1	1	955.861245785071
36419	2	1	1	1	2	1	1	1	2	1	1	884.760513842139
36420	2	1	2	1	3	1	1	1	3	1	1	834.868344381145
36421	2	1	2	1	2	1	1	1	3	1	1	852.44530244725
36422	2	1	1	1	3	1	1	1	3	1	1	983.963928720248
36423	2	1	2	1	2	1	1	1	3	1	1	917.230474238097
36424	2	1	2	1	2	1	1	1	3	1	1	1126.74631664999
36425	2	1	2	1	2	1	1	1	3	1	1	955.861245785071
36426	2	1	2	1	2	1	1	1	3	1	1	1146.72098023825
36427	2	1	2	1	2	1	1	1	3	1	1	754.562806941409
36428	2	1	2	1	2	1	1	1	3	1	1	580.305889208684
36429	2	1	1	1	2	1	1	1	2	1	1	1049.72324185675
36430	2	1	2	1	2	1	1	1	2	1	1	547.835928812726
36431	2	1	2	1	2	1	1	1	3	1	1	747.319544718828
36432	2	1	2	1	2	1	1	1	2	1	1	1049.72324185675
36433	2	1	3	1	9	2	1	1	3	1	1	1236.47545639717
36434	2	1	2	1	2	1	1	1	3	1	1	1449.12467737617
36435	2	1	2	1	1	1	1	1	3	1	1	813.078857855327
36436	2	1	2	1	1	1	1	1	3	1	1	994.489653589319
36437	2	1	1	1	2	1	1	1	3	1	1	512.386209997093
36438	2	1	1	1	2	1	1	1	3	1	1	675.210779732446
36439	2	1	1	1	2	1	1	1	3	1	1	335.444444444443
