DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
22933	252	1	5	5	1	3									460.34272647
22934	252	1	1	1	2	55	7	1	4	1	2	6	10	1	589.82660646
22935	252	1	1		2	60	6	1	5	1	2	5	1	1	683.1465922
22935	252	1	2	2	1	30	6	3	6	1	2	6	10	1	683.1465922
22936	252	1	1		1	67	6	1	3	1	2	3	6	1	668.53798628
22936	252	1	2		2	61	6	2	3	1	2	4	5	1	668.53798628
22936	252	1	3	3	1	37	6	3	6	1	2	6	5	1	668.53798628
22937	252	1	1		2	26	6	1	3	1	2	6	2	1	617.9546548
22937	252	1	2		1	31	6	2	3	1	2	6	2	1	617.9546548
22937	252	1	3	3	2	9									617.9546548
22938	252	1	1		1	32	6	1	3	1	2	6	5	1	594.6795478
22938	252	1	2		2	29	6	2	3	1	2	6	5	1	594.6795478
22938	252	1	3		1	8									594.6795478
22938	252	1	4	4	1	5									594.6795478
22939	252	1	1	1	1	39	6	1	6	1	2	3	6	1	682.23772029
22940	252	1	1	1	2	67	6	1	5	1	1	4	2	1	589.82660646
22941	252	1	1		1	63	6	1	3	1	2	3	6	1	485.79865689
22941	252	1	2		2	52	6	2	3	1	2	3	6	1	485.79865689
22941	252	1	3		2	30	6	3	6	1	2	6	2	1	485.79865689
22941	252	1	4	4	2	5									485.79865689
22942	252	1	1		2	59	6	1	4	1	2	4	4	1	533.93381709
22942	252	1	2		2	37	6	3	6	1	2	6	5	1	533.93381709
22942	252	1	3	3	1	11									533.93381709
22943	252	1	1	1	2	31	6	1	3	1	2	6	2	1	564.69032831
22944	252	1	1	1	2	50	6	1	4	1	2	3	6	1	564.69032831
22945	252	1	1	1	2	27	6	1	6	1	1	6	1	1	564.69032831
22946	252	1	1		1	77	6	1	3	1	2	3	5	1	575.21800053
22946	252	1	2	2	2	70	6	2	3	1	2	3	5	1	575.21800053
22947	252	1	1		2	57	6	1	2	1	2	4	5	1	543.5526174
22947	252	1	2		1	57	6	2	2	1	2	5	2	1	543.5526174
22947	252	1	3	3	1	16									543.5526174
22948	252	1	1		1	38	6	1	3	1	2	6	5	1	602.12640178
22948	252	1	2		2	13									602.12640178
22948	252	1	3	3	2	16									602.12640178
22949	252	1	1		1	32	6	1	3	1	2	6	10	5	617.9546548
22949	252	1	2		2	34	6	2	3	1	2	5	2	5	617.9546548
22949	252	1	3	3	2	14									617.9546548
22950	252	1	1	1	1	25	6	1	6	1	1	6	3	1	682.23772029
22951	252	1	1	1	1	30	6	1	4	1	2	5	2	1	682.23772029
22952	252	1	1		2	45	6	1	4	1	2	6	3	1	658.01031405
22952	252	1	2	2	1	24	7	3	6	1	1	6	4	1	658.01031405
22953	252	1	1		2	50	6	1	4	1	2	6	3	1	500.40726282
22953	252	1	2		2	29	6	3	6	1	2	6	10	1	500.40726282
22953	252	1	3	3	2	5									500.40726282
22954	252	1	1		2	25	6	1	4	1	2	5	2	1	492.96928593
22954	252	1	2		2	5									492.96928593
22954	252	1	3	3	1	3									492.96928593
22955	252	1	1		2	48	6	1	2	1	2	6	2	1	700.65695468
22955	252	1	2		1	59	6	2	2	1	2	3	6	1	700.65695468
22955	252	1	3		2	21	6	3	6	1	1	6	4	1	700.65695468
22955	252	1	4		1	19	6	3	6	1	1	6	3	1	700.65695468
22955	252	1	5		2	71	6	5	6	1	2	4	4	1	700.65695468
22955	252	1	6		2	64	6	5	6	1	2	4	4	1	700.65695468
22955	252	1	7	7	2	65	6	5	6	2	2	1		1	700.65695468
22956	252	1	1		2	46	6	1	2	1	2	6	5	1	675.96472432
22956	252	1	2		1	49	6	2	2	1	2	6	3	1	675.96472432
22956	252	1	3		1	23	6	3	6	1	1	6	0	1	675.96472432
22956	252	1	4		2	18	6	3	6	1	1	6	2	1	675.96472432
22956	252	1	5	5	2	15									675.96472432
22957	252	1	1		1	51	7	1	3	1	2	3	6	1	842.36890787
22957	252	1	2		2	46	6	2	3	1	2	4	3	1	842.36890787
22957	252	1	3		1	25	7	3	6	1	2	6	2	4	842.36890787
22957	252	1	4	4	1	16									842.36890787
22958	252	1	1		2	83	6	1	5	2	2	1		1	668.92326113
22958	252	1	2	2	1	33	6	4	6	1	2	4	5	1	668.92326113
22959	252	1	1		1	54	6	1	3	1	2	3	3	1	768.27795186
22959	252	1	2		2	50	6	2	3	1	2	3	6	1	768.27795186
22959	252	1	3		1	25	6	3	6	1	2	3	6	1	768.27795186
22959	252	1	4		2	23	6	3	6	1	2	5	2	2	768.27795186
22959	252	1	5		1	21	6	3	6	1	1	5	2	1	768.27795186
22959	252	1	6	6	1	12									768.27795186
22960	252	1	1		2	80	6	1	4	1	2	3	2	1	668.92326113
22960	252	1	2	2	1	24	7	4	6	1	2	3	5	1	668.92326113
22961	252	1	1		2	67	6	1	4	1	2	3	4	1	640.34552846
22961	252	1	2	2	2	34	6	3	6	1	2	7	2	1	640.34552846
22962	252	1	1		1	50	1	1	2	1	2	4	4	4	723.39955114
22962	252	1	2		2	38	6	2	2	1	2	5	2	1	723.39955114
22962	252	1	3		1	19	7	3	6	1	1	6	1	1	723.39955114
22962	252	1	4		2	17									723.39955114
22962	252	1	5	5	2	0									723.39955114
22963	252	1	1		1	43	6	1	3	1	2	5	2	1	750.05568033
22963	252	1	2		2	46	7	2	3	1	2	6	2	1	750.05568033
22963	252	1	3	3	2	13									750.05568033
22964	252	1	3		2	22	6	3	4	1	2	6	1	1	1247.0645045
22964	252	1	4		1	9									1247.0645045
22964	252	1	5		1	0									1247.0645045
22964	252	1	6	6	1	85	6	5	4	1	2	3	4	1	1247.0645045
22964	252	1	1		1	38	6	1	2	1	2	3	5	1	1247.0645045
22964	252	1	2		2	57	6	2	2	1	2	3	6	1	1247.0645045
22965	252	1	1		1	46	6	1	3	1	2	3	3	1	953.53922956
22965	252	1	2		2	31	6	2	3	1	2	3	6	1	953.53922956
22965	252	1	3		1	13									953.53922956
22965	252	1	4		1	6									953.53922956
22965	252	1	5	5	1	21	5	5	6	1	2	4	3	1	953.53922956
22966	252	1	1		1	54	6	1	3	1	2	5	2	1	833.93505022
22966	252	1	2		2	51	6	2	3	1	2	5	2	1	833.93505022
22966	252	1	3		1	29	6	3	6	1	1	6	1	1	833.93505022
22966	252	1	4		1	23	6	3	6	1	2	5	2	1	833.93505022
22966	252	1	5		1	21	6	3	6	1	2	5	2	1	833.93505022
22966	252	1	6		2	26	6	3	2	1	2	5	2	1	833.93505022
22966	252	1	7		1	30	6	5	2	1	2	5	1	1	833.93505022
22966	252	1	8		1	6									833.93505022
22966	252	1	9	9	1	1									833.93505022
22967	252	1	1		2	45	6	1	4	1	2	3	3	3	731.19858617
22967	252	1	2		1	22	6	3	6	1	1	5	2	1	731.19858617
22967	252	1	3	3	1	18	6	3	6	1	2	4	4	4	731.19858617
22968	252	1	1		1	34	5	1	2	1	2	5	2	1	805.99214017
22968	252	1	2		2	30	5	2	2	1	2	5	2	2	805.99214017
22968	252	1	3		1	2									805.99214017
22968	252	1	4		2	35	5	5	4	1	2	5	2	1	805.99214017
22968	252	1	5		2	11									805.99214017
22968	252	1	6	6	2	8									805.99214017
22969	252	1	1	1	2	28	6	1	6	1	1	6	7	1	776.71180951
22970	252	1	1		1	34	6	1	3	1	2	4	2	1	753.95519784
22970	252	1	2	2	2	39	6	2	3	1	2	3	5	1	753.95519784
22971	252	1	10		1	12									904.36765305
22971	252	1	11	11	1	8									904.36765305
22971	252	1	1		2	64	6	1	5	1	2	3	6	1	904.36765305
22971	252	1	2		2	39	6	3	6	2	2	1		1	904.36765305
22971	252	1	3		2	27	6	3	6	1	2	3	3	1	904.36765305
22971	252	1	4		1	32	6	3	2	1	2	5	2	4	904.36765305
22971	252	1	5		2	26	6	5	2	1	2	5	2	1	904.36765305
22971	252	1	6		1	10									904.36765305
22971	252	1	7		2	2									904.36765305
22971	252	1	8		2	30	7	3	4	1	2	5	2	1	904.36765305
22971	252	1	9		1	15									904.36765305
22972	252	1	1		2	35	7	1	6	1	2	6	5	1	508.58136292
22972	252	1	2		2	1									508.58136292
22972	252	1	3		2	59	7	5	4	1	2	3	6	1	508.58136292
22972	252	1	4		2	42	6	5	4	1	2	5	2	1	508.58136292
22972	252	1	5		2	83	6	5	5	1	2	3	3	1	508.58136292
22972	252	1	6		2	19	7	5	6	1	1	5	2	1	508.58136292
22972	252	1	7	7	1	17									508.58136292
22973	252	1	1		1	24	6	1	2	1	1	3	4	1	865.12551954
22973	252	1	2		2	29	6	2	2	1	2	3	6	1	865.12551954
22973	252	1	3	3	1	0									865.12551954
22974	252	1	1	1	1	69	7	1	3	1	2	3	6	1	1235.1810982
22975	252	1	1		1	37	7	1	3	1	2	3	6	1	746.15616281
22975	252	1	2		2	30	6	2	3	1	2	5	2	1	746.15616281
22975	252	1	3		2	17									746.15616281
22975	252	1	4	4	2	7									746.15616281
22976	252	1	1		2	80	6	1	5	1	2	3	3	1	849.9861654
22976	252	1	2	2	1	40	6	3	6	1	2	3	3	1	849.9861654
22977	252	1	1		2	77	6	1	5	1	2	3	2	1	460.32752246
22977	252	1	2		2	32	6	3	4	1	2	3	4	1	460.32752246
22977	252	1	3	3	2	45	6	3	4	1	2	3	4	1	460.32752246
22978	252	1	1		2	84	6	1	5	1	2	3	2	1	558.5661826
22978	252	1	2	2	2	22	99	4	6	1	2	4	2	1	558.5661826
22979	252	1	3		1	15									591.01944122
22979	252	1	4	4	2	13									591.01944122
22979	252	1	1		1	66	6	1	3	1	2	3	6	1	591.01944122
22979	252	1	2		2	59	6	2	3	1	2	3	6	1	591.01944122
22980	252	1	1		1	60	7	1	3	1	2	7	5	1	839.53693799
22980	252	1	2		2	65	7	2	3	1	2	6	5	1	839.53693799
22980	252	1	3		1	37	7	3	6	1	2	6	5	1	839.53693799
22980	252	1	4		1	34	7	3	6	1	2	6	5	1	839.53693799
22980	252	1	5	5	2	24	7	3	6	1	2	6	5	1	839.53693799
22981	252	1	1		1	76	7	1	3	1	2	3	2	1	551.41295281
22981	252	1	2	2	2	75	7	2	3	1	2	3	2	1	551.41295281
22982	252	1	1		1	47	99	1	2	1	2	3	3	1	952.37858125
22982	252	1	2		2	42	6	2	2	1	2	4	4	1	952.37858125
22982	252	1	3	3	2	12									952.37858125
22983	252	1	1		1	43	6	1	3	1	2	3	6	1	952.37858125
22983	252	1	2		2	32	6	2	3	1	2	4	5	1	952.37858125
22983	252	1	3	3	2	13									952.37858125
22984	252	1	1	1	1	54	7	1	6	1	1	3	5	1	1058.1892763
22985	252	1	2		2	43	7	2	3	1	2	3	6	5	1007.1291394
22985	252	1	1		1	43	6	1	3	1	2	4	3	5	1007.1291394
22985	252	1	3	3	1	7									1007.1291394
22986	252	1	1		1	37	6	1	1	1	2	3	3	1	952.37858125
22986	252	1	2		2	39	6	2	1	1	2	4	2	1	952.37858125
22986	252	1	3	3	2	17									952.37858125
22987	252	1	1		2	64	99	1	3	1	2	3	3	1	551.41295281
22987	252	1	2	2	1	58	99	2	3	1	2	3	3	1	551.41295281
22988	252	1	1		2	73	7	1	3	1	2	3	2	1	551.41295281
22988	252	1	2	2	1	81	7	2	3	1	2	3	3	1	551.41295281
22989	252	1	1		2	77	6	1	5	1	2	3	4	1	649.23280785
22989	252	1	2	2	2	13									649.23280785
22990	252	1	1		2	46	6	1	4	1	2	5	2	1	854.13992111
22990	252	1	2		2	24	6	3	6	1	2	6	5	1	854.13992111
22990	252	1	3		1	19	6	3	6	1	2	5	2	1	854.13992111
22990	252	1	4	4	2	16									854.13992111
22991	252	1	1		2	54	6	1	6	1	2	3	6	1	1007.1291394
22991	252	1	2		1	23	6	3	6	1	2	5	2	1	1007.1291394
22991	252	1	3	3	1	13									1007.1291394
22992	252	1	1		1	42	6	1	2	1	2	3	5	1	1007.1291394
22992	252	1	2		2	31	6	2	2	1	2	5	2	1	1007.1291394
22992	252	1	3	3	1	2									1007.1291394
22993	252	1	1		1	37	7	1	2	1	2	5	2	1	1007.1291394
22993	252	1	2		2	36	6	2	2	1	2	3	5	1	1007.1291394
22993	252	1	3	3	1	1									1007.1291394
22994	252	1	1		2	45	6	1	6	1	1	6	3	1	813.94781677
22994	252	1	2	2	1	13									813.94781677
22995	252	1	1	1	1	66	6	1	3	1	2	3	6	1	759.61606369
22996	252	1	1	1	1	40	6	1	6	1	2	3	6	1	1058.1892763
22997	252	1	1		1	44	6	1	3	1	2	5	2	1	1243.7985641
22997	252	1	2		1	46	6	2	3	1	2	5	2	1	1243.7985641
22997	252	1	3	3	2	14									1243.7985641
22998	252	1	1		1	38	7	1	2	1	2	5	2	1	1007.1291394
22998	252	1	2		2	27	7	2	2	1	1	5	2	1	1007.1291394
22998	252	1	3	3	1	7									1007.1291394
22999	252	1	1		1	57	6	1	3	1	2	4	5	1	445.60225778
22999	252	1	2		2	56	6	2	3	1	2	5	2	1	445.60225778
22999	252	1	3		2	33	99	3	6	1	2	5	2	1	445.60225778
22999	252	1	4	4	2	0									445.60225778
23000	252	1	1		2	34	7	1	6	1	2	5	2	1	806.37578188
23000	252	1	2		2	16									806.37578188
23000	252	1	3	3	1	9									806.37578188
23001	252	1	1	1	1	44	6	1	3	1	2	3	4	5	1058.1892763
23002	252	1	1		2	24	6	1	6	1	1	6	5	1	1346.3132615
23002	252	1	2		1	24	6	9	6	1	2	6	5	1	1346.3132615
23002	252	1	3		1	24	7	9	6	1	2	6	5	1	1346.3132615
23002	252	1	4	4	1	25	6	9	6	1	2	6	5	1	1346.3132615
23003	252	1	1		2	49	6	1	3	1	2	3	6	1	908.89047929
23003	252	1	2		2	26	6	3	6	1	2	6	2	1	908.89047929
23003	252	1	3		1	22	6	3	6	1	2	5	2	1	908.89047929
23003	252	1	4	4	1	1									908.89047929
23010	252	1	1		2	43	6	1	4	1	2	6	6	5	424.31016949
23010	252	1	2	2	2	12									424.31016949
23011	252	1	1		1	33	6	1	3	1	2	3	4	5	611.38115769
23011	252	1	2		2	29	7	2	3	1	2	3	4	5	611.38115769
23011	252	1	3		1	14									611.38115769
23011	252	1	4		1	12									611.38115769
23011	252	1	5		1	5									611.38115769
23011	252	1	6	6	2	2									611.38115769
23012	252	1	1		1	54	6	1	3	1	2	6	5	1	532.27789307
23012	252	1	2		2	24	6	2	3	1	2	5	2	1	532.27789307
23012	252	1	3	3	2	3									532.27789307
23013	252	1	1	1	2	21	6	1	6	1	2	4	4	5	428.54212814
23014	252	1	1	1	1	22	6	1	6	1	2	5	2	1	591.41476881
23015	252	1	1		1	28	6	1	4	1	2	5	2	4	587.18281015
23015	252	1	2	2	2	6									587.18281015
23016	252	1	1		1	47	7	1	3	1	2	3	6	1	717.28632996
23016	252	1	2		1	49	6	2	3	1	2	4	2	1	717.28632996
23016	252	1	3		2	12									717.28632996
23016	252	1	4		2	11									717.28632996
23016	252	1	5	5	1	9									717.28632996
23017	252	1	1	1	1	24	6	1	6	1	2	5	2	1	591.41476881
23018	252	1	1	1	2	52	6	1	5	1	2	3	6	3	428.54212814
23019	252	1	1		2	54	6	1	5	1	2	6	2	4	400.00496593
23019	252	1	2		2	26	6	3	4	1	1	6	4	4	400.00496593
23019	252	1	3	3	1	1									400.00496593
23020	252	1	1	1	2	26	6	1	6	1	1	6	5	1	428.54212814
23021	252	1	1		2	32	7	1	4	1	2	6	2	4	424.31016949
23021	252	1	2	2	2	14									424.31016949
23022	252	1	1		2	49	6	1	4	2	2	1		1	536.50985172
23022	252	1	2	2	1	34	6	3	6	1	2	5	2	1	536.50985172
23023	252	1	1		1	47	6	1	2	1	2	4	5	1	532.27789307
23023	252	1	2		2	19	6	2	2	1	2	5	1	1	532.27789307
23023	252	1	3	3	2	0									532.27789307
23024	252	1	1		1	60	1	1	2	1	2	4	4	5	374.84728133
23024	252	1	2		2	41	7	2	2	1	2	3	6	5	374.84728133
23024	252	1	3		2	9									374.84728133
23024	252	1	4		2	9									374.84728133
23024	252	1	5		2	6									374.84728133
23024	252	1	6		1	3									374.84728133
23024	252	1	7		2	1									374.84728133
23024	252	1	8	8	2	0									374.84728133
23025	252	1	1		1	23	6	1	3	1	2	4	4	5	562.87760659
23025	252	1	2		2	25	6	2	3	1	2	5	2	5	562.87760659
23025	252	1	3	3	1	6									562.87760659
23026	252	1	1		1	26	6	1	1	1	2	3	3	1	536.50985172
23026	252	1	2	2	2	35	7	2	1	1	2	4	2	2	536.50985172
23027	252	1	1	1	2	54	6	1	5	1	2	3	5	1	428.54212814
23028	252	1	1		2	27	6	1	5	1	2	3	3	5	395.77300728
23028	252	1	2		1	8									395.77300728
23028	252	1	3		2	6									395.77300728
23028	252	1	4	4	2	18	7	6	6	1	1	4	1	5	395.77300728
23029	252	1	1		2	42	6	1	4	1	2	3	6	1	477.04567923
23029	252	1	2		1	12									477.04567923
23029	252	1	3		1	10									477.04567923
23029	252	1	4	4	2	0									477.04567923
23030	252	1	1	1	2	59	6	1	4	1	2	3	3	1	367.08374667
23031	252	1	1		1	26	6	1	1	1	2	5	2	1	587.18281015
23031	252	1	2	2	2	16									587.18281015
23032	252	1	1		1	64	6	1	2	1	2	3	3	1	369.63931971
23032	252	1	2	2	2	51	6	2	2	2	2	1		1	369.63931971
23033	252	1	1		2	28	6	1	4	1	2	6	5	1	415.84625218
23033	252	1	2		2	13									415.84625218
23033	252	1	3		2	8									415.84625218
23033	252	1	4	4	2	6									415.84625218
23034	252	1	1		2	40	7	1	4	1	2	3	2	1	454.90988301
23034	252	1	2	2	1	12									454.90988301
23035	252	1	1	1	2	19	6	1	6	1	2	5	2	5	428.54212814
23036	252	1	1		2	36	6	1	4	1	2	3	2	5	494.9495168
23036	252	1	2		2	16									494.9495168
23036	252	1	3		1	15									494.9495168
23036	252	1	4		1	12									494.9495168
23036	252	1	5		1	8									494.9495168
23036	252	1	6		2	7									494.9495168
23036	252	1	7	7	2	3									494.9495168
23037	252	1	1		1	86	7	1	3	2	2	1		5	308.18093824
23037	252	1	2	2	2	71	7	2	3	2	2	1		5	308.18093824
23038	252	1	1		1	26	6	1	3	1	2	3	6	2	589.24536147
23038	252	1	2		2	27	6	2	3	1	2	5	2	2	589.24536147
23038	252	1	3		1	4									589.24536147
23038	252	1	4	4	1	0									589.24536147
23039	252	1	1	1	2	52	6	1	4	1	2	3	3	5	428.54212814
23040	252	1	1	1	2	19	7	1	6	1	2	6	2	1	428.54212814
23041	252	1	1		1	44	6	1	3	1	2	3	6	1	589.24536147
23041	252	1	2		2	36	6	2	3	1	2	3	6	1	589.24536147
23041	252	1	3		1	13									589.24536147
23041	252	1	4	4	1	6									589.24536147
23042	252	1	1		2	40	6	1	4	1	2	4	4	1	481.27763789
23042	252	1	2		1	12									481.27763789
23042	252	1	3	3	1	1									481.27763789
23043	252	1	1		1	30	6	1	2	1	2	3	4	1	558.64564794
23043	252	1	2		2	27	6	2	2	1	1	6	1	1	558.64564794
23043	252	1	3		1	3									558.64564794
23043	252	1	4	4	2	1									558.64564794
23044	252	1	1		1	35	6	1	4	1	2	3	5	1	617.78252368
23044	252	1	2	2	1	13									617.78252368
23045	252	1	1		1	24	6	1	1	2	2	1		4	532.27789307
23045	252	1	2		2	20	6	2	2	1	2	3	4	1	532.27789307
23045	252	1	3	3	2	3									532.27789307
23046	252	1	1	1	1	75	6	1	4	1	2	3	2	1	424.5442368
23047	252	1	1		2	35	6	1	4	1	2	6	2	5	420.07821084
23047	252	1	2		2	9									420.07821084
23047	252	1	3	3	2	1									420.07821084
23048	252	1	1		2	30	6	1	4	1	2	5	2	1	450.67792436
23048	252	1	2		2	15									450.67792436
23048	252	1	3	3	1	6									450.67792436
23049	252	1	1		1	81	6	1	3	1	2	3	6	5	241.72352261
23049	252	1	2		2	74	6	2	3	1	2	3	3	5	241.72352261
23049	252	1	3	3	2	55	6	6	4	1	2	3	6	1	241.72352261
23050	252	1	1		1	62	6	1	3	1	2	4	4	5	369.63931971
23050	252	1	2	2	2	50	6	2	3	1	2	4	3	5	369.63931971
23051	252	1	1		1	51	6	1	5	1	2	6	2	1	617.78252368
23051	252	1	2	2	1	9									617.78252368
23052	252	1	1		1	49	7	1	2	1	2	3	6	4	562.87760659
23052	252	1	2		2	39	7	2	2	1	1	6	5	4	562.87760659
23052	252	1	3	3	1	10									562.87760659
23053	252	1	1		2	47	7	1	4	1	2	3	6	2	454.90988301
23053	252	1	2	2	1	11									454.90988301
23054	252	1	1		2	24	6	1	4	1	2	5	2	5	424.31016949
23054	252	1	2	2	2	3									424.31016949
23055	252	1	1	1	1	36	6	1	6	1	2	6	5	5	591.41476881
23057	252	1	1		2	24	7	1	4	1	2	6	2	1	454.90988301
23057	252	1	2	2	1	0									454.90988301
23058	252	1	1		1	32	6	1	3	1	2	3	6	5	558.64564794
23058	252	1	2		2	29	6	2	3	1	2	3	6	5	558.64564794
23058	252	1	3		1	9									558.64564794
23058	252	1	4	4	2	9									558.64564794
23059	252	1	1		2	41	6	1	5	1	2	6	2	2	365.17329375
23059	252	1	2		2	19	6	3	6	1	1	6	2	1	365.17329375
23059	252	1	3		2	17									365.17329375
23059	252	1	4	4	2	15									365.17329375
23060	252	1	1	1	2	19	7	1	6	1	2	6	2	6	428.54212814
23061	252	1	1		1	20	6	1	2	1	2	3	3	1	562.87760659
23061	252	1	2		2	24	1	2	2	1	2	3	5	1	562.87760659
23061	252	1	3	3	1	1									562.87760659
23062	252	1	1		2	35	6	1	4	1	2	5	2	2	454.90988301
23062	252	1	2	2	1	13									454.90988301
23063	252	1	1		2	42	6	1	4	1	2	4	5	1	424.31016949
23063	252	1	2	2	2	4									424.31016949
23064	252	1	1		1	54	6	1	3	1	2	3	6	1	536.50985172
23064	252	1	2	2	2	46	6	2	3	1	2	3	6	1	536.50985172
23065	252	1	1		1	47	6	1	3	1	2	3	3	5	532.27789307
23065	252	1	2		2	38	6	2	3	1	2	3	4	5	532.27789307
23065	252	1	3	3	2	3									532.27789307
23066	252	1	1		1	38	6	1	3	1	2	3	6	5	532.27789307
23066	252	1	2		2	32	6	2	3	1	2	4	5	5	532.27789307
23066	252	1	3	3	2	1									532.27789307
23068	252	1	1		1	57	6	1	3	1	2	6	2	5	365.40736106
23068	252	1	2		2	49	6	2	3	1	2	4	2	5	365.40736106
23068	252	1	3	3	2	15									365.40736106
23069	252	1	1		1	76	6	1	3	1	2	3	4	10	496.10143198
23069	252	1	2		2	81	6	2	3	2	2	1		10	496.10143198
23069	252	1	3		1	37	99	3	6	1	2	5	1	10	496.10143198
23069	252	1	4	4	1	55	7	5	6	1	2	4	5	1	496.10143198
23070	252	1	1		2	54	6	1	4	1	2	3	4	1	1015.0914664
23070	252	1	2		2	33	6	3	6	1	2	6	5	1	1015.0914664
23070	252	1	3		1	6									1015.0914664
23070	252	1	4	4	1	31	6	3	6	1	2	5	2	1	1015.0914664
23071	252	1	1		1	34	7	1	6	1	2	5	2	1	834.34145187
23071	252	1	2	2	2	63	6	5	3	1	2	3	4	1	834.34145187
23072	252	1	1		1	62	6	1	3	1	2	5	2	1	574.6398666
23072	252	1	2	2	2	58	7	2	3	1	2	4	3	1	574.6398666
23073	252	1	1		2	62	7	1	3	1	2	7	9	1	574.6398666
23073	252	1	2	2	1	68	6	2	3	1	2	6	8	1	574.6398666
23074	252	1	1	1	1	67	6	1	5	1	2	6	6	1	728.39849
23075	252	1	1		2	57	6	1	4	1	2	4	5	1	1668.6829037
23075	252	1	2	2	1	23	7	3	6	1	1	6	3	1	1668.6829037
23076	252	1	1	1	2	45	6	1	4	2	2	1		1	771.5470241
23077	252	1	1		2	33	7	1	4	1	2	4	5	1	2471.4946125
23077	252	1	2		1	14									2471.4946125
23077	252	1	3	3	1	21	7	9	6	1	2	5	2	1	2471.4946125
23078	252	1	1	1	1	47	6	1	4	1	2	6	5	1	988.10007527
23079	252	1	1		2	56	6	1	2	1	2	5	2	1	574.6398666
23079	252	1	2	2	1	66	6	2	2	1	2	6	3	1	574.6398666
23080	252	1	1		1	80	7	1	5	1	2	6	5	1	570.53707791
23080	252	1	2		1	46	6	3	4	1	2	6	5	1	570.53707791
23080	252	1	3	3	2	69	6	6	6	1	2	3	6	1	570.53707791
23081	252	1	1		1	43	6	1	2	1	2	5	2	1	542.68560687
23081	252	1	2		2	41	6	2	2	1	2	5	2	1	542.68560687
23081	252	1	3		1	22	7	3	6	1	2	5	2	1	542.68560687
23081	252	1	4	4	2	20	6	3	6	1	1	6	2	1	542.68560687
23083	252	1	1		1	39	7	1	3	1	2	6	5	1	767.44423541
23083	252	1	2	2	2	41	7	2	3	1	2	6	2	1	767.44423541
23084	252	1	1		1	87	7	1	5	1	2	6	5	1	574.6398666
23084	252	1	2	2	2	66	6	6	6	1	2	3	6	1	574.6398666
23085	252	1	1		2	74	7	1	6	1	2	5	2	1	1668.6829037
23085	252	1	2	2	1	32	7	3	6	1	2	6	5	1	1668.6829037
23086	252	1	1	1	2	27	6	1	6	1	2	5	2	1	771.5470241
23087	252	1	1		2	65	99	1	5	1	2	3	6	1	433.84719673
23087	252	1	2	2	2	88	99	5	5	1	2	3	5	1	433.84719673
23088	252	1	1	1	1	70	6	1	6	1	2	6	4	1	734.63225042
23089	252	1	2	2	2	55	99	2	3	1	2	5	2	1	822.03007462
23089	252	1	1		1	43	99	1	3	1	2	5	2	1	822.03007462
23093	252	1	1		1	70	99	1	3	1	2	3	6	1	720.10452963
23093	252	1	2		2	66	99	2	3	1	2	3	6	1	720.10452963
23093	252	1	3	3	1	32	7	3	6	2	2	1		1	720.10452963
23094	252	1	1		1	54	6	1	6	1	2	3	6	1	966.68161751
23094	252	1	2		2	26	6	5	6	1	2	4	2	1	966.68161751
23094	252	1	3		2	16									966.68161751
23094	252	1	4	4	1	6									966.68161751
23095	252	1	1		1	44	6	1	3	1	2	3	4	1	921.05479839
23095	252	1	2		2	38	6	2	3	1	2	5	2	1	921.05479839
23095	252	1	3	3	2	7									921.05479839
23096	252	1	1	1	1	56	7	1	6	1	2	3	6	1	734.63225042
23098	252	1	1		1	68	6	1	3	1	2	3	6	1	471.45796909
23098	252	1	2		2	57	6	2	3	1	2	3	6	1	471.45796909
23098	252	1	3	3	1	78	7	5	6	1	2	3	4	1	471.45796909
23099	252	1	1		2	45	99	1	5	1	2	3	6	2	860.36785385
23099	252	1	2	2	1	17									860.36785385
23100	252	1	7	7	1	9									832.8251936
23100	252	1	1		1	70	99	1	3	1	2	3	5	1	832.8251936
23100	252	1	2		2	65	99	2	3	1	2	3	6	1	832.8251936
23100	252	1	3		2	37	6	3	3	1	2	5	2	1	832.8251936
23100	252	1	4		1	40	6	5	3	1	2	5	2	1	832.8251936
23100	252	1	5		1	17									832.8251936
23100	252	1	6		1	14									832.8251936
23101	252	1	1	1	2	72	7	1	5	1	2	3	6	1	694.2629015
23102	252	1	1		2	60	6	1	5	1	2	3	3	1	474.18581551
23102	252	1	2	2	2	92	6	5	5	1	2	3	3	1	474.18581551
23103	252	1	1		1	56	6	1	3	1	2	3	3	1	699.09623878
23103	252	1	2	2	2	48	6	2	3	1	2	5	2	1	699.09623878
23104	252	1	1	1	2	82	99	1	5	1	2	3	6	1	694.2629015
23105	252	1	1	1	2	56	6	1	6	1	2	3	2	1	694.2629015
23106	252	1	1		1	61	7	1	3	1	2	3	3	1	787.05902955
23106	252	1	2		2	58	7	2	3	1	2	3	6	1	787.05902955
23106	252	1	3	3	1	22	6	3	6	1	2	6	3	1	787.05902955
23107	252	1	1		1	45	6	1	2	1	2	6	1	1	910.85601673
23107	252	1	2		2	38	7	2	2	1	2	5	2	1	910.85601673
23107	252	1	3	3	2	19	6	3	6	1	1	6	2	1	910.85601673
23108	252	1	1	1	1	23	6	1	6	1	2	5	2	2	1118.5385818
