DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6008	P220	P5785	P5465	P6050	P605	P6160	P8586	P6210	P6210S1	P6945	FEX_P
18729	252	1	1	1	2	70	6	1	4	1	2	1		5	685.35331681
18730	252	1	1		1	45	6	1	2	1	2	6	4	4	857.14218548
18730	252	1	2		2	39	7	2	2	1	2	5	2	1	857.14218548
18730	252	1	3		1	13									857.14218548
18730	252	1	4	4	2	9									857.14218548
18732	252	1	1		2	26	6	1	2	1	2	5	2	4	669.96223836
18732	252	1	2		1	30	6	2	2	1	2	6	2	1	669.96223836
18732	252	1	3		2	5									669.96223836
18732	252	1	4		2	1									669.96223836
18732	252	1	5	5	2	89	99	5	5	1	2	3	3	1	669.96223836
18733	252	1	1		2	52	7	1	2	1	2	3	5	1	816.79604691
18733	252	1	2		1	60	7	2	2	1	2	6	5	1	816.79604691
18733	252	1	3	3	1	3									816.79604691
18734	252	1	1		2	60	6	1	4	1	2	5	2	1	577.29912657
18734	252	2	1		2	27	6	1	2	1	2	5	2	2	577.29912657
18734	252	2	2		1	30	6	2	2	1	2	5	2	1	577.29912657
18734	252	2	3		2	7									577.29912657
18734	252	2	4	4	2	2									577.29912657
18734	252	3	1		2	19	1	1	4	1	2	5	2	7	577.29912657
18734	252	3	2		2	4									577.29912657
18734	252	3	3		2	1									577.29912657
18735	252	1	1		2	72	99	1	5	1	2	3	4	1	692.12770421
18735	252	1	2		1	35	6	3	2	1	2	5	2	1	692.12770421
18735	252	1	3	3	2	32	6	5	2	1	2	3	6	1	692.12770421
18736	252	1	1		2	44	5	1	4	1	2	5	2	1	855.4325212
18736	252	1	2		1	17									855.4325212
18736	252	1	3	3	1	11									855.4325212
18737	252	1	1		2	43	7	1	3	1	2	5	2	1	781.57981642
18737	252	1	2		1	43	6	2	3	1	2	5	2	1	781.57981642
18737	252	1	3		2	17									781.57981642
18737	252	1	4	4	2	13									781.57981642
18738	252	1	1		1	67	6	1	3	1	2	4	5	1	711.19647865
18738	252	1	2	2	2	66	6	2	3	1	2	4	4	1	711.19647865
18739	252	1	1		1	71	6	1	3	1	2	3	6	1	599.57890059
18739	252	1	2		2	67	6	2	3	1	2	4	5	1	599.57890059
18739	252	1	3	3	2	86	6	5	5	1	2	3	6	1	599.57890059
18740	252	1	1		1	60	6	1	2	1	2	5	2	4	881.27568304
18740	252	1	2		2	52	6	2	2	1	2	4	5	1	881.27568304
18740	252	1	3		1	16									881.27568304
18740	252	1	4	4	1	10									881.27568304
18741	252	1	1		2	45	6	1	4	1	2	5	2	1	869.93458268
18741	252	1	2		1	20	5	6	6	1	1	6	2	99	869.93458268
18741	252	1	3		1	18	6	3	6	1	1	5	2	1	869.93458268
18741	252	1	4	4	2	13									869.93458268
18742	252	1	1		2	50	7	1	3	1	2	6	2	5	810.51966967
18742	252	1	2		1	49	6	2	3	1	2	5	2	5	810.51966967
18742	252	1	3		1	23	7	3	6	1	1	5	2	5	810.51966967
18742	252	1	4	4	2	20	6	3	6	1	2	6	2	5	810.51966967
18743	252	1	1		1	26	5	1	2	1	2	6	2	4	792.66254935
18743	252	1	2		2	24	6	2	2	1	2	6	3	1	792.66254935
18743	252	1	3	3	2	2									792.66254935
18744	252	1	1		1	65	6	1	4	1	2	6	4	4	788.46851198
18744	252	1	2		2	97	6	5	5	1	2	3	6	1	788.46851198
18744	252	1	3	3	1	30	6	5	4	1	2	5	2	4	788.46851198
18745	252	1	1	1	1	63	7	1	4	1	2	6	6	1	822.81405671
18746	252	1	1	1	1	47	6	1	6	1	2	6	5	4	874.2429282
18747	252	1	1		1	67	5	1	5	1	2	3	5	1	816.79604691
18747	252	1	2		2	42	6	3	4	1	2	5	2	1	816.79604691
18747	252	1	3	3	1	15									816.79604691
18748	252	1	1		2	35	6	1	4	1	2	5	4	1	715.39051602
18748	252	1	2	2	2	10									715.39051602
18749	252	1	1		2	33	6	1	4	1	2	5	2	4	693.22505016
18749	252	1	2		2	13									693.22505016
18749	252	1	3		2	10									693.22505016
18749	252	1	4	4	2	6									693.22505016
18750	252	1	1		1	34	6	1	2	1	2	5	2	1	921.62182161
18750	252	1	2		2	29	6	2	2	1	2	6	5	1	921.62182161
18750	252	1	3		1	10									921.62182161
18750	252	1	4		1	5									921.62182161
