DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18759	252	1	8	1	1	320000	598.740100868506
18759	252	1	9	1	1	500000	598.740100868506
18760	252	1	1	1	1	800000	462.554422093696
18760	252	1	2	1	1	500000	462.554422093696
18761	252	1	1	1	1	660000	451.803166595242
18761	252	1	2	4	1	30000	451.803166595242
18762	252	1	1	1	1	1000000	456.526872216542
18762	252	1	2	1	1	400000	456.526872216542
18763	252	1	1	1	1	600000	322.247261628814
18763	252	1	2	1	1	600000	322.247261628814
18763	252	1	3	4	2		322.247261628814
18763	252	1	5	1	1	200000	322.247261628814
18764	252	1	1	1	99		442.355755352641
18764	252	1	2	1	1	600000	442.355755352641
18765	252	1	1	4	1	110000	342.081841787016
18766	252	1	1	1	1	1500000	447.079460973942
18766	252	1	2	4	2		447.079460973942
18767	252	1	1	1	1	700000	280.571755044645
18767	252	1	2	4	1	600000	280.571755044645
18768	252	1	1	1	1	600000	519.460871193541
18768	252	1	2	1	1	200000	519.460871193541
18768	252	1	3	2	2		519.460871193541
18769	252	1	1	1	1	300000	385.449306252797
18770	252	1	1	1	1	700000	453.977280429308
18770	252	1	2	4	2		453.977280429308
18770	252	1	3	1	1	2800000	453.977280429308
18770	252	1	5	4	2		453.977280429308
18770	252	1	6	1	1	600000	453.977280429308
18771	252	1	1	2	1	644500	453.325358301381
18771	252	1	2	4	2		453.325358301381
18771	252	1	3	2	2		453.325358301381
18771	252	1	4	1	1	1200000	453.325358301381
18771	252	1	5	1	1	1200000	453.325358301381
18772	252	1	1	1	1	600000	457.830716472396
18772	252	1	2	4	2		457.830716472396
18773	252	1	1	2	2		416.275277867
18773	252	1	2	1	1	50000	416.275277867
18774	252	1	1	1	1	900000	451.803166595242
18774	252	1	2	4	2		451.803166595242
18775	252	1	1	1	1	600000	452.455088723169
18775	252	1	2	4	2		452.455088723169
18776	252	1	1	4	2		447.079460973942
18776	252	1	2	1	1	600000	447.079460973942
18777	252	1	1	4	2		317.621835479025
18777	252	1	2	1	1	300000	317.621835479025
18777	252	1	3	2	2		317.621835479025
18777	252	1	5	4	2		317.621835479025
18777	252	1	6	1	1	510000	317.621835479025
18778	252	1	1	1	1	644500	453.107010851096
18778	252	1	2	1	1	500000	453.107010851096
18779	252	1	1	1	1	600000	369.974345133042
18780	252	1	1	1	1	120000	783.390407160472
18780	252	1	2	1	1	630000	783.390407160472
18780	252	1	3	2	2		783.390407160472
18780	252	1	6	4	1	200000	783.390407160472
18781	252	1	1	2	2		1048.36915362968
18781	252	1	2	4	2		1048.36915362968
18781	252	1	5	1	1	500000	1048.36915362968
18782	252	1	1	1	1	644500	503.355754539199
18782	252	1	2	4	2		503.355754539199
18782	252	1	4	1	1	200000	503.355754539199
18783	252	1	1	1	1	400000	749.396101508685
18784	252	1	1	1	1	360000	1184.98840708213
18784	252	1	2	1	1	300000	1184.98840708213
18784	252	1	3	3	2		1184.98840708213
18784	252	1	4	3	2		1184.98840708213
18785	252	1	1	1	1	600000	906.214021702192
18785	252	1	2	4	2		906.214021702192
18786	252	1	1	1	1	500000	895.462766203737
18786	252	1	2	4	2		895.462766203737
18787	252	1	1	1	1	200000	828.926504013231
18787	252	1	2	1	1	300000	828.926504013231
18788	252	1	1	1	1	350000	306.652232530286
18788	252	1	2	3	2		306.652232530286
18789	252	1	1	1	1	900000	414.463252006615
18789	252	1	2	4	2		414.463252006615
18790	252	1	1	1	1	800000	477.785364609371
18791	252	1	1	1	1	1500000	1070.05014582625
18791	252	1	2	4	2		1070.05014582625
18792	252	1	1	1	1	500000	801.652163625968
18792	252	1	2	4	2		801.652163625968
18793	252	1	1	1	1	800000	1075.10425696236
18794	252	1	1	1	99		1144.86376241474
18794	252	1	2	3	2		1144.86376241474
18795	252	1	1	5	1	700000	1563.35645525081
18795	252	1	2	4	1	300000	1563.35645525081
18795	252	1	3	1	1	644050	1563.35645525081
18795	252	1	4	1	1	700000	1563.35645525081
18796	252	1	1	1	1	750000	1087.9840676954
18797	252	1	1	3	1	300000	1285.17374149936
18798	252	1	1	1	1	700000	1131.98395168169
18798	252	1	2	1	99		1131.98395168169
18799	252	1	1	1	1	1200000	1221.79113269997
18799	252	1	2	4	2		1221.79113269997
18800	252	1	1	1	1	1500000	921.914467144693
18800	252	1	2	1	1	1800000	921.914467144693
18801	252	1	1	1	1	200000	1011.72164816297
18801	252	1	2	1	1	200000	1011.72164816297
18802	252	1	1	1	1	600000	1011.72164816297
18802	252	1	2	4	2		1011.72164816297
18803	252	1	1	4	2		710.192291304532
18803	252	1	2	2	1	330000	710.192291304532
18804	252	1	1	1	1	1200000	1148.26518224768
18805	252	1	1	1	1	1500000	801.652163625968
18805	252	1	2	1	1	646000	801.652163625968
18806	252	1	1	1	99		1024.60145889601
18806	252	1	2	4	99		1024.60145889601
18807	252	1	1	1	1	2000000	1193.71386917792
18809	252	1	1	1	1	780000	938.195697710678
18810	252	1	1	1	1	600000	1285.17374149936
18811	252	1	1	2	2		1175.05477963354
18811	252	1	2	1	1	200000	1175.05477963354
18811	252	1	3	2	2		1175.05477963354
18813	252	1	1	1	1	2000000	1342.0534362187
18813	252	1	2	1	1	1200000	1342.0534362187
18814	252	1	1	4	2		1057.17033509321
18814	252	1	2	4	2		1057.17033509321
18815	252	1	1	1	1	280000	1087.9840676954
